sentiment,txt
positive,اللهم يا محول الاحوال حول حالى إن أحسن حال 
negative,بطلت اتجوز
negative, ناس تبي تتمصخر ماتدري شلون
negative,﻿حسبنا الله و نعم الوكيل فيكوا
positive,مفيش اكرم ولا ارحم من ربنا
positive,ونعمه بالله
positive,﻿اللهم لا تدع لى ذنبا الا غفرتة . اللهم اصلح لى دينى
positive,اصدقاء اوفياء ونتعلم منهم
positive,اللهم اهدنا الى صراطتك المستقيم
negative,﻿ ولا مستحيل يطلع واحد يفشل نفسه كذا
positive,قولى يارب .. ثم توكلى عليه انه نعم المولى و نعم الوكيل.و احتسبى عنده ما تظنين انك لا تقدرين عليه 
negative, وين القناه التافة الى تعرض هذول المعاتية صحيح نحن في انحطاط
negative,﻿خليه يرفع لكن اللي عنده وطنيه و انتماء يصف سيارته بالشارع و يروح على الشغل مشي
positive,ربنا المستعان ادعولنا ارجوكم
positive,الحمد انا متفائلة جدا في كا امور حياتي ورح اضل هيك دائما
positive,حقيقة
negative, ولا انا صوووتي كذا اجي اهباال هوو
positive,اللهم كن مع اخواننا في سوريا 
positive,﻿مش عارف لية بيتحوله و هما الى دواره عليك وكان نفسهم تكون معاهم فى الأول
negative,كـلمـة حـبـ عـجـبـتـنـى جـيـتـ آقــؤلهـآ جــرحـتـنـى
negative, اغبياء
negative, عرب اغبياء
positive,اللهم ارزقنا رزقا حلالا
negative, مياعة وسئالة من عدولة والي معو
negative,﻿ كتكوت ضعيف الجناح و الدنيا غدرت هااا
negative,كلهم معندهمش احساس
positive,عجبتني
positive,يارب ساعدني وقويني وساعدني أخد حبيبي
negative, فعلا مهزله
positive,يالله ما اروع هائولاء الناس
positive,﻿ربنا يبارك فيه و يكون قدوه للجميع المسلمين فى انحاء العالم
positive,﻿اللهم انك عفو تحب العفو فاعف عنا
negative,انت عنجد بنت فاشلة
negative, فطست ضحك على الشايب
negative,تحطم ماتبقى من اطيافي
positive,﻿ناس عزيزة و المعزة لهم غير ... فيهم صفات الصالحين العلية
negative,﻿  يخرب الدلع
negative,﻿يا جاهلين .. يلي بحكي عن الطاقه .. النووي وجودو كفيل بوفاة positivenegativenegativenegativenegative شخص وولادة positivenegativenegativenegativenegative طفل مشوه .. ولو انو اشي منيح كان ما بزتوه بالصحرا .. وجودو بعيد بقلل مخاطر بس ما بمنعها .. و يلي بحكي انو احنا امه جاهله ما بدها تطور .. بكون هوه الجاهل و عدو نفسو و عدو الانسانية .. و بلا ننوي و بلا زفت ... قال نتطور قال . .لو بدنا نتطور طورنا حالنا من زمان مش على دور الننووي .. شعب جاهل
positive,التشائم يقتل الحياة
negative,﻿  أخ يا بطني عورني من الضحكككك 
positive,﻿الله الله عليك يا استاذ عمر و بارك الله لك و بارك عليك و جزاك الله عنا خيرا كثير
positive,بارك الله فيك أنانضال فدعولي بزوجة صالحة
positive,﻿صباح الاماني المحققه باذن الله 
positive,يجب على المسلم ان يواسى اخوه فى الاسلام
positive,﻿اللهم اجعلنا دائما مسلمين صادقين في افكارنا و في اعمالنا
positive,﻿الحمد لله على القضا و القدر
positive,كلام سليم 
positive,سلامي عليك 
negative, طلعوا العرب اخس واخس واخس
negative,﻿ صوتهآ بعيرَ ومصدقه حآلهآ 
positive,يا رب خد بياايدينا يااجبرنا ياجبار السموات والارض
negative, تدرون ،، الشرهه ع اللي شجّعهم يروحون للبرنآمج
positive,يارب أنت المستعان فأعنا واهدنا يارب الكون أجمع استجب
positive,انت يا دكتور خير اخ ربنا يزور عليك
positive,وان مدحتك بالقصائد ماوفيت
negative,تليفيزيون المستقبل صار سيء للغاية ما أدري ليش!!
positive,لأن بالفعل في شي
negative,﻿ والله ما يحرر عزبت بنقاليه 
negative,﻿ 58 ثانية كأنه جورج وسوف وهو في الحمام معه اسهــــــــــال تكرمون جميعاااااااااااً 
positive,الوفاء اصبح شئ نادر يكاد يكون معدوم
negative, قمة التخلف والانحطاط
positive,ربنا يستر واخلاق المتاسلمين لا ترجعه مرة اخرى
positive,الله يعين الجميع
positive,الله يزيدك من العلم ما تنتفع به الامه
positive,المهم الدعاء في السجود حتى تغسل عينيك الدموع
positive,فى ناس كتيرربنااكرمهابنعمة الاسلام ولكنهالاتدرك قيمتها
negative, متى يجي .. عام 2negative5negative عشان ادخل رجلي مع الشاشه واحطها بفمك 
negative,﻿التقدم و الازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره وسيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله
positive,﻿اللهم اجعلنا ممن يتمتعون بروح و ريحان
positive,يارب أعيني علي دكرك وشكرك وحسن عبادتك 
negative,وقعنا ولا ما وقعنا يللي بدهم يعملوه بيعملوه
negative,انا ضد وجود المفاعلات النووية في الأردن
positive,كلام بليغ اللهم أرزقنا الزوج الصالح من يعرف معني رفقا بالقوارير
positive,﻿اللهم اعنا على انفسنا و اجعلنا نرى الدنيا صغيرة و الآخرة كبير
negative,كلاب بتعوي
negative,عيب عليكوا تقارنوا وحدة زى دى بالمصحف الى هوا كلام ربنا
positive,عمل السريرة هو العمل الخالص لله اللهم ارزقنا عمل السريرة
positive,اللهم اكثر من امثالهم
positive,اللهم قوِّ إيماننا لنكون أصحاب عزيمة و قرار 
positive,﻿الاسلام هو حسن الخلق ألا تعرف بأن الحبيب صلى الله عليه و سلم لقب أمينا قبل نزول الوحي 
negative, الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم،،
negative,و إلى أسماء الاسد : كـــس أخـــت زوجـــك :)
negative,احلى زبالة  بوجهك
negative,احسن من هيك رئيس وزراء ما في 
positive,أهلا وسهلا بك بيننا يا طارق
positive,يارب اجعلنى من المصلحين
negative, خسارة فيك اسمك :
negative,﻿اللهم انا نشكو اليك ضعف قوتنا و قلة حيلتنا حسبنا الله و نعم الوكيل
negative,﻿  سبحان الله غصبن على الي مايرضى ودهم يروحون النار حتى بالحرام موفالحين
negative,﻿ما ازنخك انت و مقالاتك
negative, العجوز هذا والرجال إلي بجنبه بله وأغبياء وأنهم يثبطون الواحد
negative, من اجل هذا تم قدوم ٢٠ الف من الجيش الامريكي
negative,﻿ برنامج قديم
positive,ربنا يباركلك يا أستاذي و يعزك
negative,ﻣﻴﻴﻴﻴﻴﻦ ﺑﻀﻞ ﻳﺸﻴﻞ ﺍﻟﺸﺒﺸﺐ ﻣﻦ ﺟﻤﺒﻲ
positive,الهم اصلح بنات المسلمين
negative, صوته مره منبح احسه تعبان عاد زبدولة مابقى الا يطلع بعد شوي 
positive,اللهم ثبتنا وثبته على دينك الحنيف وسنة نبيك
negative,الله اكبر على كل ظالم
positive,اللهم اهدنا لكل عمل يقربنا اللى حبك
negative, لو يطلع عليهم positivenegative من مخيم اربد و positivenegative من مخيم الحصن و 2negative من مخيم الزرقا و 3negative من مخيم عمان و 2negative من مخيم البلقاء و 2negative من مخيم الشهيد عزمي المفتي بفضحو عرضاتهم كلهم
positive,﻿انت مو انت و انت جوعان كل شوكولاته و افرح
positive,الله اكبر ولله الحمد
negative, بس انا دايم احسها خشنة و رجال 
positive,﻿اللهم اصلح حالي و احفظني و نور قلبي و اجعل طريق الخير طريقي و اجعل عملي خالصا لوجهك الكريم و توب علي و اغفر لي زلاتي
positive,﻿أللهم ثبت قلوبنا على الإيمان
positive,الحمد لله الحمد لله الحمد لله لن يسعنا الكون حمدا و شكرا ففضلك ربي اعظم و انت ربنا الاكرم
positive,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه
positive,هذه من أقوال الرفيق المناضل 
negative, طول عمري بخاااف من العوب العب
positive,لا تحزن الدنيا ما فيها اشي تحزن عليه
positive,سعادتنا تكون بحسن الاستمتاع بالأشياء التي نحصل، عليها كما تكون بحسن الاستغناء عن الأشياء التي نُحرم منها
negative, مهزلة
positive,بارك الله لكما وبارك عليكما وجمع بينكما على خير
positive,الله يستر على بنات المسلمين جميعا
negative, طول عمر بخاف أن أمثالك يصبحوا مطربين
positive,نفسي اروح عمرة واشوف الكعبة
negative, والله انك مسخره يا عجوز
negative,﻿ اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها .. اللهم لاشماته 
negative,بسسسسس  مقززز
negative, هذه رويدا عطيه يا الخبوول
negative,اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه وتبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية وبعدين اشطحوا
positive,ماشاء الله عليكم بجد موضوع مهم جدا والاهم الرقي الرائع في الحوار 
positive,ضع امنياتكم في سجده انساها وتاكد ان الله لن ينساها ابدا
positive,انا مش عارفة كيف ابدا حياتي
negative, اقرفني شعر تقول حاط دبر امل وجاي
negative, يخرب زوئك
negative, التاسعه تبي تكسر الكميرا
negative,﻿ياخسارة العروبة فيك
negative,﻿آخر واحد مهستر
negative, مش طبيعي سماكة الدم شو ها عدولة خرب المفطع لشو المبالغة والاوفر يعني
positive,الابتسامه كلمه طيبه بغير حروف
negative,للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي "كما اعلنت هيئة الطاقة" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
negative, السلام عليكم الحقيقه انا لا اعرف شو وقاحة هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما 
positive,اسعد الله صباحكم علامتنا بالخيرات
negative,مسخره
positive,متخافش يامؤمن قول يارب وحب ربك دة هو اللى خلق النعمة اللى انت متعلق بيها يعنى هو اعظم من النعمة دى وانت عارف كدة
negative, دمهم ثقيل
negative,﻿للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي "كما اعلنت هيئة الطاقة" يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
positive,أحلى صباح من أحلى شيخ في العالم 
negative,﻿ رهيب حسن ... تعاالى .. تعاالى 
positive,بارك الله في دين الاسلم
positive,صباحكم سعادة وعبادة مقبولة ان شاء الله
positive,﻿أحب الله تعالى و رسوله الكريم
positive,اذا دم البشر أحمر
negative,نحن نرفض المفاعل النووي
positive,الله يبارك فيك ومرحبا يااخي في الاسلام
negative,﻿ السماعات خربت 
negative, والله هبل في هبل
negative, حتى بالستايل مقلده الله ياخذ عمره الغبي 
positive,﻿صدقت يا رب إجعلنا راضين بقدرك
negative,هو فى حد اساسا لسه بيتابع البت دي هاي عنجد بتقرف
positive,﻿الحمد لله أكسجين يعيد للصدر أنفاسه ، ف تجدها ب الصوت السعيد و الصوت المتئاكل من البكاء
positive,﻿و الله و بالنهاية يكونو رائعون
negative,﻿ اللهم لا شماته ليش ياربي  يحرجوا انفسهم
positive,يارب عوضنا خير مما أخذ منا
positive,إنه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم أرزق بنات المسلمين زوجا طيبا محبا مثله 
positive,عليك بتقوى الله ان كنت غافلاً 
positive,الحمد لله ع السلامه 
positive,كلام جميل 
negative,﻿ هالانسان مجنون لابس بدلة رياضة وجاي يغني حتى لو صوتك زين اللبس عدل
positive,كلنا ما انتصرنا على نفسنا وعلى الحاجة ددي إلي متعبتنا ومبعدتنا عن الله .، 
positive,قول يا رب وخد قرار 
positive,والحاجة الي انت بتحبها دي هي مش اكتر من حاجة زينها الشيطان واقنعك بحلاوتها بس هتندم بعدين
negative,انتخب مين يا عم  هى  ناقصة لبخة فى الكلام  معتش الا الاهبل ده كمان يبقى رئيس جمهورية
positive,﻿نحن نحبك في الله و ندعو لك بظهر الغيب
positive,﻿و نعم الصديق
positive,يالله ارحم احبتى واشفهم وعافهم واعف عنهم
negative,ههههههههههههه شكلو عمرو ماشاف كاميرا تصورو
positive,صلوا علي من بكي شوقاً لرؤيتنا
negative, برنامج معوق ومشاركين معوقين:)
negative,يلعن شرف خواتك 
negative, خبر عاجل يمنع لجميع المجانين التقدم الى سوبر ستار
positive,صباح الورد والفل
negative,الوحيد الذي لايتركني ولو لحظه"
negative, يلعن ام اللي باخر المقطع حق عدوله يا هو ثقيل دم
positive,﻿اللهم اصلح حال المسلمين و اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال
positive,يا طيبة بالروح افتدينا
positive,انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني
negative, وجه حسن عزااب
positive,جزاك الله خيرا
negative, تفو كس امك حمارة
negative, تضرب منك لعدوله
positive,ما اضيق العيش لولا فسحة الامل،...الحمد لله
positive,يا الله استجب دعائي ياالله مادكيت بابك يوم ورحعتني خالية الوفاض
negative,﻿
negative, قمة التخلف البشري الله يشفيهم
negative, كنا نقول عاهات
positive,﻿صباح الفل و الورد يا شيخ سلمان عطر الله صباحك بذكره و شكره و حسن عبادته
positive,قول يارب وخذ قرار 
negative, لعن الله المتشبهين من الرجال للنساء
positive,الحمد لله على نعمة الإسلام
positive,﻿اللهم لا تجعلنا من المنافقين
positive,ربنا يكفينا هذا الشر
negative,يارجاااااااااله ينهاااااار﻿ منيييييلل
negative,لو كاكا بالبرازيل كنت اعطيط لايك بس هيك فشر
positive,﻿اشهد الله اني احبك فى الله و ادعوا ان نحشر مع حبيبنا و امامنا محمد صلى الله عليه و سلم فى الجنة امين
negative,غبيييي من جده
negative, ثقيلين دم كثير
positive,يا شيخ خالد ربي يحفظك نبي منك طلب 
positive,يا رب استجب دعائنا وانصر اهلنا في سوريا
positive,لا كرامه في الحب والغرام
positive,انا فعلا مؤمن بالفكرة دي جدا وبحاول انفذها
negative,﻿المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
negative, اموت بصوتها
negative,كلو حكي فاضي
positive,﻿صباح هادئ ۆ انفاس تحمل تفاؤل ۆ يقين بان گل مَ سيكتبہ أللہ لنا ﻓي كل يومَ خير أصبحنا و أصبح الملك لله 
negative,لى جماعه الاخوان الخسيسة كيف بدكو الوطن يتصلح وانتو قسمتوه لفريقيين كل واحد منكم اخدنا لمطرح ومش عارفين واصليين لوين
positive,اللهم إجعلنا ممن يأخذون بالأسباب
negative,﻿لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة وليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين واصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل ومن الغاز الطبيعي المؤمل مستقبلا ومن الطاقة الشمسية ومن طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.
negative,والله انك ما زلية يا شيخ اكيد مدفوعله من تحت ل تحت
negative,انخرس
negative, اخر واحد يادلوخ ياحمير تمثيل
negative,﻿الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانة او تشغيل المفاعلات النوويه ! لاردن ليس لديها سوى شهادات دكتوراة في هذا المجال نظرية بحته ! ان انشاء مفاعل نووي يعنى مقامرة كامله بمئات الملاييين و المضحك في الموضوع ان بداية المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئة الطاقة النوويه ! اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات ؟ علاوة على ان كل هيئة الطاقة تم انشأها "رضوة" لفلان وعلنتان ! الاولي يا سادة ان يتم طرح انشاء شركة للتنقيب عن اليورانيوم وبيعه و لتصبح الاردن دولة مصدرة لهذه المادة . امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول و بكميات على الاقل تكفي استهلكنا المحلي !!
negative, الغباء واضح
positive,اللهم انى استغفرك واتوب اليك
negative, اسفل من بعضهم
positive,﻿اللهم ثبت قلوبنا على الايمان
positive,هستوكم 
negative,يخسو الشيعه الخنزير
positive,الله يبارك فيك جمــــــــــــــــــيله
negative, ما بتحبو حد 
positive,اللهم تب علينا انك التواب الرحيم
positive, بالفعل لازم كل واحد بيتكلم عن الدين اقل مافيها يلتزم باقل مبادئه عشان يكون قدوة مش ييخلي الناس تقول هو ده الدين
negative,يلعن شرفك شو واثقة من حالك 
negative, كانت تسوي مقلب انها محترمة بعدين اعترفت انها ................. 
negative,فهم ادرى واخبر لا وبل اكثر انكارا" للشيعة  وامثالهم
positive,احلى اشي في الحياة الاستقرار مع زوج صالح
positive,﻿اللهم ما اصبح بي من نعمة أو بأحد من خلقك فمنك وحدك لا شريك فلك الحمد و لك الشكر
positive,مطلوب نصيحه منك لكي نستحضر الخشوع
negative, والله ما في اشي مزعلني الا انه اسمه محمد
negative,﻿التقدم والازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره و سيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله
positive,يااااااااااا الله ما احلاه من خبر والله فرحتوني
negative, سوبر سطار ولا بلاش
positive,الارواح جنود مجنده من تعارف منها أأتلف ومن تنافر منها اختلف
negative,واحد واطي 
positive,احيانا الوحده تزيل بعضا من ألهموم ..
negative,ولكن كيف ان المفاعل النووي غير مضر بالبيئة فهمني ؟؟
positive,رائع ولاجمل ♥حب ربنا
negative,﻿انا اردني و بقول الشعب بيستاهل غلا اكثر من هيك
positive,تركنا كل شئ من اجل رضا الله اللهم ارضى عنا
negative,﻿بس تكون من سكان اربد و تكون قريب على المفاعل النووي في جامعه التكنولوجيا و بتشرب من مياه اربد التي تبعد اقل من positivenegativenegative متر في باطن الارض " حوض اليرموك "عن مركز المفاعل بتقدر تعترض .... وين بدك تصرف المياه التي تخرج من المفاعل ... " لا تقولوا مفاعل التكنولوجيا تدريبي بس اسمه مفاعل و بتخرج منه مخلفات نوويه " الدول الاوروبيه بدات الاستغناء عن المفاعلات النوويه ..... عندك مياه بالاردن من اجل تشغيل المفاعل ..... قبل الحكم على الاشخاص الذين يقومون ضد هذا المشروع اسالوا الجولوجيين و اثرها على المياه الجوفية ..... بتحداك اذا بتسال خالد طوقان عن الاثار الجانبيه من الفاعل النووي و جاوبكوا .... كلامي هذا من دكاترة جامعات مختصين في الجولوجيا و اثره على المياه الجوفيه
negative,والله نوفي صح لسانك
positive,للهم أملأ قلبي بحبك وحب نبيك وحب كل عمل يقربني إلي حبك
positive,باذن الله بديت ولو مؤخرا بنفسى الحمد لله
negative, ولا جورج في الزمنات بس حرام يفضحوهم
negative, اشي بقهر مش لا هل درجه
negative,نا بدي نموذج لسبونج بوب ههههههههههههههههه
positive,ونعم الصديق
positive,يا سلام على الوفاء اللي اتفقد في عصرنا ويا حسرتاه على الحب الذي بات مجرد كلمات
positive,﻿صباحك مبروك و عدوك مهلوك
negative,عيب والله اسم المقطع
positive,عشان هيك قال النبي صلى الله عليه وسلم إن الكذب يهدي إلى الفجور...والفجور يهدي إلى النار
negative,Noاكيد بقرف 
positive,يا رب قدرنى
positive,﻿اللهم اصلحنا و طهر قلوبنا من النفاق
negative, اجل الاخير واضح انو بيمثل وتمثيلو خايس هو والخايسين ذولا
positive,الامل بالله كبيييييير انشالله
negative, عاهات 
negative, احس بمرض لاشفت هالبرنامج
positive,حياك اللة
negative,﻿يااخوان احنا مع التطور بس منين نجيب سبعة عشر مليار دولار تكلفة المشروع . لنبدا اولا بااستغلال الرياح و الطاقه الشمسيه و الصخر الزيتي و نبد بتخفيف الفاتوره النفطيه .و المثل بقول خذ من طين بلادك و حط علئ خدادك.
negative,ههههههههههههههه ما بقدروا
